"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL131143",0.908195256061346,0.846481777162808,0.761315836000367,0.697003738023925,0.152800247274493,0.19338823220815,0.233801496777577,0.274025262247662,0.0800978792822186,"Normal"
"AMPL131144",0.791398637922558,0.822609031639437,0.758007896455315,0.771616792343493,0.232706897637809,0.490761785906674,0.654129013643802,0.125383013125283,0.000163132137031008,"Normal"
"AMPL131145",0.682697537821289,0.461338534495514,0.433710427896122,0.405067492147041,0.302421073454501,0.332818774404255,0.345883939576508,0.320405756489174,0.00130505709624795,"Normal"
"AMPL131146",0.32986222903427,0.676763785680147,0.667172662974598,0.680937666030422,0.089597060687605,0.323470538381624,0.453227874531247,0.102283490743245,0.0309951060358891,"Normal"
"AMPL131156",0.917543321454967,0.947720442411795,0.930074974296983,0.934676404671359,0.323004721113126,0.686659399655499,0.869440304515075,0.21059283542435,0.000163132137031008,"Normal"
"AMPL131157",0.761874759618973,0.746393940931216,0.69750358903721,0.721496596340287,0.415133502972855,0.576445394367435,0.646077191352284,0.312122062393423,0.000163132137031008,"Normal"
"AMPL131158",0.713414234600638,0.798295482688747,0.791937050337947,0.815125974215687,0.319884408521687,0.212941244629194,0.172151005627303,0.446882656185474,0.146655791190865,"Special"
"AMPL131161",0.646027224791237,0.10438786336117,0.080841939361953,0.086384351013624,0.115901737422136,0.083679678503706,0.071574685868231,0.16552200948314,0.000489396411093024,"Normal"
"AMPL131164",0.877385547133746,0.927795820140485,0.903434802801364,0.922165576249481,0.41835834073374,0.701341326858245,0.874734728774144,0.631246580434025,0.0181076672104404,"Normal"
"AMPL131167",0.770874271806346,0.769631883421813,0.718861562247218,0.736346715348995,0.429301093538442,0.50703073203392,0.56033994879153,0.374898784699557,0.00456769983686789,"Normal"
"AMPL131169",0.822132456003248,0.837588393596291,0.79668163027033,0.80391986377083,0.325336963462944,0.619478119249857,0.747038760920622,0.273858291032661,0.116639477977161,"Normal"
"AMPL131181",0.940776651315765,0.945553689234735,0.937239925077559,0.94720398711905,0.421472587681214,0.674213506953512,0.773419553931491,0.173002713447877,0.0884176182707993,"Normal"
"AMPL131182",0.553277597444699,0.531248756153784,0.513637919262329,0.525719913804176,0.360805578319013,0.477076805998885,0.538996985364356,0.302202023713701,0.169657422512235,"Normal"
"AMPL131185",0.932404931753087,0.92790587380589,0.898933891107066,0.89204105929528,0.298824795985555,0.658318523695196,0.855724423117645,0.193988070140835,0.00848287112561175,"Normal"
"AMPL131186",0.83687328267081,0.872662011737245,0.86646957661247,0.871122736495037,0.628029524183916,0.801350728769895,0.852407840864254,0.540807607458547,0.0169657422512235,"Normal"
"AMPL131187",0.938543078168158,0.922584988794704,0.698894327720673,0.477499412302735,0.228513434486471,0.172664633537256,0.174693314144311,0.289233704492113,0.0184339314845025,"Normal"
"AMPL131198",0.871245755472604,0.896522918537301,0.87385602196534,0.887376067714188,0.715708631760339,0.800635338276956,0.876412726359499,0.615984493370737,0.00309951060358893,"Normal"
"AMPL131199",0.691391932127935,0.736478058630441,0.721820243926443,0.775002130214432,0.651816407266723,0.547667354511966,0.497333270943639,0.636621213412191,0.0761827079934747,"Normal"
"AMPL131202",0.9565042969079,0.964068964590214,0.961268306447973,0.961653180279447,0.668027086758698,0.830345262255498,0.888534471169254,0.405833262698211,0.00636215334420875,"Normal"
"AMPL131203",0.942795402132281,0.945110877574214,0.942216736609247,0.92968445701669,0.234655708332626,0.455919307557484,0.593215167298831,0.138853225071138,0.160522022838499,"Normal"
"AMPL131211",0.91183850607032,0.916547226802878,0.923632721200927,0.913032192313818,0.114882102814414,0.51677168867169,0.741809766277146,0.168202676549321,0.0172920065252855,"Normal"
"AMPL131216",0.543728641493493,0.505294260379386,0.466791247562771,0.467900485703048,0.104873579658675,0.267030988833505,0.365889431300737,0.090858752457444,0.191517128874388,"Normal"
"AMPL131218",0.742581122649441,0.729318408274911,0.702595795739446,0.707970071482872,0.542677418661596,0.599160017437725,0.630380464013857,0.542720057270314,0.137846655791191,"Normal"
"AMPL131219",0.815050320782848,0.84126748893549,0.827300340227464,0.859847775350826,0.206181254301484,0.544979491066402,0.764536164566547,0.225083111073556,0.168678629690049,"Normal"
"AMPL131220",0.807412306040273,0.865707498200068,0.830308440697933,0.846766781040087,0.43692234646077,0.738757874708447,0.872697957092964,0.503654640643071,0.0244698205546493,"Normal"
"AMPL131222",0.938441845319954,0.930718624254114,0.910200009306474,0.927115338373365,0.728271211831621,0.817792891877212,0.888145657912657,0.719418550474168,0.220880913539967,"Normal"
"AMPL131229",0.693628425710648,0.644254077083249,0.593237458723679,0.587899156152843,0.526019144718025,0.698263920847185,0.785339481206882,0.437588841635324,0.201141924959217,"Normal"
"AMPL131238",0.520295439483835,0.555239588925438,0.577713294250719,0.589297925225942,0.297820574514714,0.416596544518614,0.482996753073808,0.694115641987088,0.0518760195758564,"Normal"
"AMPL131242",0.206243823281729,0.335369228387994,0.298879845039072,0.314005159324642,0.425514913650191,0.276179139015864,0.228946753296942,0.595629107267532,0.0401305057096248,"Normal"
"AMPL131243",0.906891660696126,0.795310029854754,0.413855700843047,0.419616812114794,0.119771905145081,0.191364197276261,0.234345433945452,0.191379709475715,0.185644371941272,"Normal"
"AMPL131255",0.817296680667948,0.649612259197225,0.512269079592715,0.515499912183784,0.294932365331778,0.263983755126335,0.260903546190913,0.310415287985445,0.0530179445350734,"Special"
"AMPL131256",0.400379149688323,0.342940534334249,0.116280128768658,0.086822303444756,0.068715959474147,0.074166756094046,0.070579744953994,0.103030710238915,0.147634584013051,"Normal"
"AMPL131259",0.794417608970547,0.882820332923596,0.873264990638428,0.901264360092838,0.458613998446126,0.780229426301043,0.888396423473492,0.494110617548169,0.0360522022838499,"Normal"
